location,lat,lng,value
"South Plainfield, Middlesex County",40.5792701,-74.4115401,136
"Roxbury, Morris County",40.8693272,-74.663464,136
"Tinton Falls, Monmouth County",40.3042773,-74.1004185,135
"Ridgewood, Bergen County",40.9792645,-74.1165313,133
"Barnegat, Ocean County",39.7649223,-74.2693297,133
"Plainsboro, Middlesex County",40.3382543,-74.585292,130
"Paulsboro, Gloucester County",39.830391,-75.2404607,129
"Salem City, Salem County",39.5717796,-75.4671423,129
"Elmwood Park, Bergen County",40.9039878,-74.118476,129
"Woodbury, Gloucester County",39.8381691,-75.1526774,128
"South Brunswick, Middlesex County",40.3806901,-74.5316938,128
"Lyndhurst, Bergen County",40.8120171,-74.1243063,127
"Mount Olive, Morris County",40.8514881,-74.7329411,124
"Sea Isle City, Cape May County",39.1534477,-74.6929387,124
"Haledon, Passaic County",40.935654,-74.186256,123
"Ramsey, Bergen County",41.0573188,-74.1409771,122
"Rahway, Union County",40.6081591,-74.2776468,122
"Fairfield, Essex County",40.8837406,-74.3059959,120
"Hammonton, Atlantic County",39.6365056,-74.8023853,119
"Marlboro, Monmouth County",40.3380949,-74.2687291,118
"Wayne, Passaic County",40.9253725,-74.2765441,118
"Clark, Union County",40.6278031,-74.3127631,114
"Edgewater, Bergen County",40.8270448,-73.975694,113
"Pompton Lakes, Passaic County",41.0053753,-74.2907041,113
"Riverside, Burlington County",40.0323338,-74.9573908,112
"Manalapan, Monmouth County",40.2859203,-74.348582,112
"Point Pleasant, Ocean County",40.0831714,-74.0681931,110
"Hopewell twp, Mercer County",40.343784,-74.8156199,110
"Hazlet, Monmouth County",40.4289526,-74.1650991,109
"Bordentown Town, Burlington County",40.1462213,-74.7118264,108
"Ridgefield Park, Bergen County",40.8570442,-74.0215285,107
"Dunellen, Middlesex County",40.5892696,-74.4718201,107
"Roselle Park, Union County",40.6645469,-74.2643133,106
"Manasquan, Monmouth County",40.1136928,-74.0376355,105
"Madison, Morris County",40.7598227,-74.417097,105
"South Orange, Essex County",40.7489277,-74.2609903,104
"Mantua, Gloucester County",39.7818322,-75.1821597,104
"Freehold Boro, Monmouth County",40.260111,-74.2737573,104
"Randolph, Morris County",40.8478065,-74.5747248,103
"Monroe, Middlesex County",40.336419,-74.4330474,102
"Harrison, Hudson County",40.7464901,-74.1562551,102
"Washington Township, Warren County",40.7699173,-74.988468,101
"Englewood, Bergen County",40.8928771,-73.9726381,100
"Keansburg, Monmouth County",40.4417743,-74.1298643,97
"Lower Township, Cape May County",38.9745287,-74.9003335,97
"Robbinsville, Mercer County",40.2162036,-74.6195327,95
"Beachwood, Ocean County",39.9390069,-74.1929188,94
"Penns Grove, Salem County",39.7295581,-75.4679734,94
"Fairlawn, Bergen County",40.9403762,-74.1318096,93
"Franklin Township, Gloucester County",39.600156,-75.0377502,92
"Wharton, Morris County",40.8931546,-74.5818254,91
"Burlington Town, Burlington County",40.071222,-74.8648873,90
"Highland Park, Middlesex County",40.4959379,-74.4243178,89
"Lumberton, Burlington County",39.9676482,-74.8003877,87
"Middlesex, Middlesex County",40.572603,-74.4926541,87
"Barrington, Camden County",39.8648357,-75.0551714,87
"Wyckoff, Bergen County",41.0095316,-74.1729106,86
"Stratford, Camden County",39.8267807,-75.0154461,86
"Bradley Beach, Monmouth County",40.2023354,-74.0120814,86
"Bernards, Somerset County",40.6669335,-74.5580454,85
"Morris Township, Morris County",40.7933833,-74.505312,85
"Cinnaminson, Burlington County",39.9969646,-74.9927693,85
"Phillipsburg, Warren County",40.6937099,-75.1901761,84
"Sea Girt, Monmouth County",40.1320592,-74.0345813,84
"Bergenfield, Bergen County",40.9275987,-73.9973608,83
