key,value
62,1
59,1
58,1
56,1
51,1
49,2
47,1
46,1
44,2
43,3
42,2
41,3
40,2
39,2
38,3
37,1
36,5
35,5
34,6
33,10
32,9
31,9
30,5
29,12
28,13
27,16
26,14
25,12
24,14
23,30
22,19
21,27
20,38
19,48
18,43
17,79
16,68
15,102
14,100
13,146
12,167
11,215
10,296
9,334
8,409
7,572
6,790
5,1026
4,1422
3,2124
2,3405
1,7801
