Row Labels,Count of church,Address,Change to:,Flag
"Our Lady of Peace, North Arlington",1,"10 Franklin Pl., North Arlington, New Jersey 07031-6094","Our Lady of Peace, North Arlington","Does not appear to be a ""Our Lady of Peace,"" only a ""Queen of Peace"" church"
"Our Lady of Peace, North Brunswick",1,"1740 US Highway Rt. 130, North Brunswick, NJ 08902","Our Lady of Peace, North Brunswick",
"Our Lady of Perpetual Help, Oakland",1,"25 Purdue Ave, Oakland, NJ 07436","Our Lady of Perpetual Help, Oakland",
"Our Lady Of Sorrows, Jersey City",1,"95 Clerk St, Jersey City, NJ 07305","Our Lady Of Sorrows, Jersey City",
"Our Lady of Sorrows, Kearny",1,"136 Davis Ave, Kearny, NJ 07032","Our Lady of Sorrows, Kearny",
"Our Lady Of Sorrows, S. Orange",1,"217 Prospect St, South Orange, NJ","Our Lady of Sorrows, South Orange",Also a school
"Our Lady of Sorrows, South Orange",1,"217 Prospect St, South Orange, NJ","Our Lady of Sorrows, South Orange",Also a school
"Our Lady of the Angels, Cape May",3,"35 E Mechanic St, Cape May Court House, NJ 08210","Our Lady of the Angels, Cape May",
"Our Lady of the Assumption, Bayonne",1,"93 W 23rd St, Bayonne, NJ 07002","Our Lady of the Assumption, Bayonne",Closed
"Our Lady of the Blessed Sacrament, Roseland",1,"28 Livingston Ave, Roseland, NJ 07068","Our Lady of the Blessed Sacrament, Roseland",
"Our Lady of the Lake, Verona",1,"32 Lakeside Ave, Verona, NJ 07044","Our Lady of the Lake, Verona",Also a school
"Our Lady of the Most Holy Rosary/St. Michael, Elizabeth",1,"52 Smith St, Elizabeth, NJ 07201","Our Lady of the Most Holy Rosary/St. Michael, Elizabeth",
"Our Lady of the Most Holy Rosary/St.Michael, Elizabeth",1,"52 Smith St, Elizabeth, NJ 07201","Our Lady of the Most Holy Rosary/St. Michael, Elizabeth",
"Our Lady of the Pillar, Half Moon Bay, CA",1,"400 Church St, Half Moon Bay, CA 94019","Our Lady of the Pillar, Half Moon Bay, CA",
"Our Lady of the Rosary, Newark",1,"259 Oliver St., Newark, NJ 07105","Our Lady of the Rosary, Newark",Closed
"Our Lady of the Visitation, Paramus",3,"234 N Farview Ave, Paramus, NJ 07652","Our Lady of the Visitation, Paramus",Also a school
"Our Lady of Victories, Crestview FL",1,"550 Adams Dr, Crestview, FL 32536","Our Lady of Victories, Crestview FL",
